,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
138434,548194,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,29-03-2011 15:30,5.79,,United Kingdom
243799,558475,21060,PARTY INVITES BALLOON GIRL,3,29-06-2011 15:58,0.83,,United Kingdom
325635,565447,22652,TRAVEL SEWING KIT,10,04-09-2011 15:20,1.65,14107.0,United Kingdom
430941,573585,23158,SET OF 5 LUCKY CAT MAGNETS ,2,31-10-2011 14:41,4.13,,United Kingdom
218745,556064,21232,STRAWBERRY CERAMIC TRINKET BOX,24,08-06-2011 14:20,1.06,13777.0,United Kingdom
226631,556812,22424,ENAMEL BREAD BIN CREAM,1,14-06-2011 17:25,24.96,,United Kingdom
479092,577135,23084,RABBIT NIGHT LIGHT,24,18-11-2011 08:56,1.79,12427.0,Germany
200590,554147,23199,JUMBO BAG APPLES,10,23-05-2011 10:48,2.08,12423.0,Belgium
351249,567665,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,21-09-2011 15:22,4.13,,United Kingdom
277692,561189,23073,GEORGIAN TRINKET BOX,1,25-07-2011 13:28,12.5,16557.0,United Kingdom
122250,546856,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,17-03-2011 14:12,1.95,15433.0,United Kingdom
102190,544996,22553,PLASTERS IN TIN SKULLS,12,25-02-2011 11:53,1.65,12474.0,Germany
170808,551341,21755,LOVE BUILDING BLOCK WORD,3,28-04-2011 07:52,5.95,15189.0,United Kingdom
310850,C564207,22156,HEART DECORATION WITH PEARLS ,-7,24-08-2011 09:06,0.72,15270.0,United Kingdom
308251,563944,85231G,ORANGE SCENTED SET/9 T-LIGHTS,12,22-08-2011 10:08,0.85,17581.0,United Kingdom
463559,576066,23002,TRAVEL CARD WALLET SKULLS,1,13-11-2011 15:44,0.42,16898.0,United Kingdom
473505,576837,20723,STRAWBERRY CHARLOTTE BAG,1,16-11-2011 15:16,1.63,,United Kingdom
367223,568875,23341,PINK DINER WALL CLOCK,1,29-09-2011 12:23,8.5,14527.0,United Kingdom
103351,545060,84358,FLOOR LAMP SHADE WOOD BASE,2,27-02-2011 13:47,9.95,15547.0,United Kingdom
273238,560790,22697,GREEN REGENCY TEACUP AND SAUCER,6,21-07-2011 10:29,2.95,14051.0,United Kingdom
8558,537138,22082,RIBBON REEL STRIPES DESIGN ,5,05-12-2010 12:44,1.65,17211.0,United Kingdom
406624,571809,84988,SET OF 72 PINK HEART PAPER DOILIES,4,19-10-2011 11:44,1.45,15039.0,United Kingdom
390114,570498,23220,REINDEER HEART DECORATION GOLD,12,11-10-2011 09:10,0.83,16136.0,United Kingdom
212506,555488,22469,HEART OF WICKER SMALL,4,03-06-2011 13:43,1.65,16942.0,United Kingdom
118181,546423,85202,HANGING WOOD AND FELT HEART,2,13-03-2011 12:39,0.42,14502.0,United Kingdom
122212,546855,22668,PINK BABY BUNTING,2,17-03-2011 13:58,2.95,18168.0,United Kingdom
493847,578251,22537,MAGIC DRAWING SLATE DINOSAUR,9,23-11-2011 12:45,0.42,15993.0,United Kingdom
196463,553850,85054,FRENCH ENAMEL POT W LID,6,19-05-2011 12:59,2.95,18075.0,United Kingdom
120805,546679,21650,ASSORTED TUTTI FRUTTI BRACELET,2,15-03-2011 16:47,0.65,13121.0,United Kingdom
426783,573363,16169E,WRAP 50'S  CHRISTMAS,25,30-10-2011 13:06,0.42,16079.0,United Kingdom
65930,541700,21876,POTTERING MUG,36,21-01-2011 09:06,0.42,15174.0,United Kingdom
332094,566056,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,2,08-09-2011 15:08,0.42,14410.0,United Kingdom
470420,576617,90183C,BLACK DROP EARRINGS W LONG BEADS,1,15-11-2011 16:57,2.9,,United Kingdom
248512,558860,22439,6 ROCKET BALLOONS ,2,04-07-2011 12:18,0.65,17975.0,United Kingdom
140844,548470,22355,CHARLOTTE BAG SUKI DESIGN,10,31-03-2011 12:36,0.85,12782.0,Portugal
80533,543040,20674,GREEN POLKADOT BOWL,1,02-02-2011 17:06,1.25,17337.0,United Kingdom
231460,557268,22712,CARD DOLLY GIRL ,12,19-06-2011 11:26,0.42,13097.0,United Kingdom
417400,572655,23171,REGENCY TEA PLATE GREEN ,12,25-10-2011 12:20,1.65,16708.0,United Kingdom
151340,549551,22766,PHOTO FRAME CORNICE,8,10-04-2011 11:48,2.95,15955.0,United Kingdom
58804,541263,22961,JAM MAKING SET PRINTED,24,16-01-2011 16:10,1.45,16843.0,United Kingdom
380666,569827,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,06-10-2011 12:26,2.08,13591.0,United Kingdom
371999,569229,22227,HANGING HEART MIRROR DECORATION ,6,02-10-2011 14:56,0.65,14502.0,United Kingdom
416089,572550,82613D,METAL SIGN CUPCAKE SINGLE HOOK,1,24-10-2011 17:06,2.46,,United Kingdom
93276,544286,84406B,CREAM CUPID HEARTS COAT HANGER,7,17-02-2011 12:29,4.15,13151.0,United Kingdom
397727,571201,20969,RED FLORAL FELTCRAFT SHOULDER BAG,12,14-10-2011 12:28,3.39,14937.0,Channel Islands
73375,542345,21232,STRAWBERRY CERAMIC TRINKET BOX,2,27-01-2011 11:55,1.25,15910.0,United Kingdom
99173,544717,22524,CHILDRENS GARDEN GLOVES BLUE,10,23-02-2011 10:44,1.25,18172.0,United Kingdom
2339,536580,22966,GINGERBREAD MAN COOKIE CUTTER,12,01-12-2010 16:17,1.25,17690.0,United Kingdom
452375,575336,20992,JAZZ HEARTS PURSE NOTEBOOK,2,09-11-2011 13:58,0.39,14968.0,United Kingdom
279763,561366,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,26-07-2011 15:45,8.25,15152.0,United Kingdom
495939,578344,20711,JUMBO BAG TOYS ,1,24-11-2011 09:21,4.13,,United Kingdom
258039,559550,22747,POPPY'S PLAYHOUSE BATHROOM,1,10-07-2011 15:38,2.1,17757.0,United Kingdom
272789,560773,35924,HANGING FAIRY CAKE DECORATION,3,20-07-2011 16:17,1.63,,United Kingdom
219652,556106,23193,BUFFALO BILL TREASURE BOOK BOX,6,08-06-2011 16:54,2.25,14056.0,United Kingdom
229572,557064,21755,LOVE BUILDING BLOCK WORD,1,16-06-2011 15:07,5.95,13263.0,United Kingdom
364726,568671,23234,BISCUIT TIN VINTAGE CHRISTMAS,6,28-09-2011 13:13,2.89,13139.0,United Kingdom
391789,570680,20719,WOODLAND CHARLOTTE BAG,10,11-10-2011 15:36,0.85,13969.0,United Kingdom
490267,578041,21810,CHRISTMAS HANGING STAR WITH BELL,42,22-11-2011 14:23,0.39,17338.0,United Kingdom
211310,555363,23040,PAPER LANTERN 9 POINT SNOW STAR ,1,02-06-2011 14:15,5.75,14453.0,United Kingdom
434199,574034,22499,WOODEN UNION JACK BUNTING,1,02-11-2011 12:45,5.95,17841.0,United Kingdom
336841,566408,22538,MINI JIGSAW GO TO THE FAIR,1,12-09-2011 13:43,0.42,16984.0,United Kingdom
33948,539308,22474,SPACEBOY TV DINNER TRAY,3,16-12-2010 17:48,4.95,17412.0,United Kingdom
296463,562907,22568,FELTCRAFT CUSHION OWL,4,10-08-2011 12:44,3.75,14116.0,United Kingdom
231402,557266,21864,UNION JACK FLAG PASSPORT COVER ,2,19-06-2011 11:14,2.1,14878.0,United Kingdom
383532,570027,22197,POPCORN HOLDER,12,07-10-2011 10:41,0.85,14844.0,United Kingdom
49597,540523,22178,VICTORIAN GLASS HANGING T-LIGHT,6,09-01-2011 12:51,1.25,13069.0,United Kingdom
499718,578687,85178,VICTORIAN SEWING KIT,12,25-11-2011 09:23,1.25,14703.0,United Kingdom
536439,581219,21003,ROSE DU SUD CUSHION COVER,2,08-12-2011 09:28,5.79,,United Kingdom
367786,568908,22509,SEWING BOX RETROSPOT DESIGN ,1,29-09-2011 13:38,16.95,16653.0,United Kingdom
11637,537257,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,06-12-2010 11:10,2.95,17691.0,United Kingdom
72186,542233,20726,LUNCH BAG WOODLAND,10,26-01-2011 13:46,1.65,13098.0,United Kingdom
514929,579751,22474,SPACEBOY TV DINNER TRAY,1,30-11-2011 14:46,10.79,,United Kingdom
317121,564758,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,2,30-08-2011 10:39,3.29,,United Kingdom
362592,568510,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,20,27-09-2011 12:26,0.29,13555.0,United Kingdom
77986,542794,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,10,01-02-2011 10:56,2.46,,United Kingdom
15504,537638,35809A,ENAMEL PINK TEA CONTAINER,1,07-12-2010 15:28,4.21,,United Kingdom
350801,567656,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,21-09-2011 14:40,5.79,14096.0,United Kingdom
170403,551291,22420,LIPSTICK PEN BABY PINK,12,27-04-2011 14:26,0.36,14298.0,United Kingdom
541849,581580,22894,TABLECLOTH RED APPLES DESIGN ,2,09-12-2011 12:20,9.95,12748.0,United Kingdom
153255,549734,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,4,11-04-2011 17:12,0.85,16409.0,United Kingdom
143255,548670,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,01-04-2011 15:37,3.95,15356.0,United Kingdom
393969,570863,22835,HOT WATER BOTTLE I AM SO POORLY,8,12-10-2011 15:39,4.95,15144.0,United Kingdom
124395,546976,22430,ENAMEL WATERING CAN CREAM,1,18-03-2011 12:08,9.96,,United Kingdom
406033,571726,23220,REINDEER HEART DECORATION GOLD,12,19-10-2011 09:00,0.83,16191.0,United Kingdom
451786,575256,21914,BLUE HARMONICA IN BOX ,24,09-11-2011 11:58,1.25,13408.0,United Kingdom
503901,578939,22383,LUNCH BAG SUKI DESIGN ,10,27-11-2011 13:14,1.65,17068.0,United Kingdom
374087,569372,22131,FOOD CONTAINER SET 3 LOVE HEART ,1,03-10-2011 16:04,4.13,,United Kingdom
274480,560918,23050,RECYCLED ACAPULCO MAT GREEN,2,21-07-2011 18:27,8.25,14849.0,United Kingdom
233802,557491,85213,,66,20-06-2011 15:08,0.0,,United Kingdom
395785,571041,23165,LARGE CERAMIC TOP STORAGE JAR,4,13-10-2011 13:00,1.65,14527.0,United Kingdom
10713,537237,84006,MAGIC TREE -PAPER FLOWERS,5,06-12-2010 09:58,1.66,,United Kingdom
130594,547498,85187,S/12 MINI RABBIT EASTER,1,23-03-2011 12:24,1.65,15021.0,United Kingdom
90276,543993,21931,JUMBO STORAGE BAG SUKI,10,15-02-2011 10:40,1.95,17612.0,United Kingdom
226616,556812,22269,EGG CUP NATURAL CHICKEN,5,14-06-2011 17:25,0.83,,United Kingdom
312519,564356,23196,VINTAGE LEAF MAGNETIC NOTEPAD,1,24-08-2011 15:47,1.45,13969.0,United Kingdom
55490,540995,22356,CHARLOTTE BAG PINK POLKADOT,1,13-01-2011 09:30,1.63,,United Kingdom
290804,562417,DOT,DOTCOM POSTAGE,1,04-08-2011 16:32,141.5,,United Kingdom
323313,565287,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,02-09-2011 11:42,2.95,12483.0,Sweden
256513,559494,22697,GREEN REGENCY TEACUP AND SAUCER,1,08-07-2011 13:54,5.79,,United Kingdom
112531,545897,21749,LARGE RED RETROSPOT WINDMILL,1,07-03-2011 17:22,4.13,,United Kingdom
88546,543806,85104,SILVER GLASS T-LIGHT SET,3,13-02-2011 12:48,2.95,17085.0,United Kingdom
515768,579787,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,1,30-11-2011 15:33,5.79,,United Kingdom
435818,574076,23367,SET 12 COLOUR PENCILS SPACEBOY ,1,02-11-2011 15:38,1.25,,United Kingdom
20782,538071,21413,PERIWINKLE T-LIGHT HOLDER,1,09-12-2010 14:09,2.51,,United Kingdom
21708,538113,22837,HOT WATER BOTTLE BABUSHKA ,4,09-12-2010 15:29,4.65,15811.0,United Kingdom
303518,563549,85099B,JUMBO BAG RED RETROSPOT,15,17-08-2011 12:34,4.13,,United Kingdom
98183,544672,22507,MEMO BOARD RETROSPOT  DESIGN,16,22-02-2011 15:45,4.25,14646.0,Netherlands
523269,580504,22659,LUNCH BOX I LOVE LONDON,25,04-12-2011 13:32,1.95,17936.0,United Kingdom
276631,561066,22995,TRAVEL CARD WALLET SUKI,8,24-07-2011 14:21,0.42,16710.0,United Kingdom
400864,571406,23349,ROLL WRAP VINTAGE CHRISTMAS,12,17-10-2011 12:12,1.25,13871.0,United Kingdom
536572,581219,22108,PING! MICROWAVE PLATE,2,08-12-2011 09:28,3.29,,United Kingdom
